Mouse #,Condition,Novel,Familiar,Time novel,Time familiar,Total time,Discrimination index,Number events novel,Average latency novel,Number events familiar
1,Nothing,Up,Down,,,,,,,
2,Nothing,Down,Up,,,,,,,
